2019-10-25 12:08:52,b'\xf0\x9f\x90\xa5TWEET TWEET LETS FLY \nBARBADOS NO ONE HYDRO FLIGHT AUTHORITY BOOK NOW\xf0\x9f\x87\xa7\xf0\x9f\x87\xa7\xf0\x9f\x94\xa5\xf0\x9f\xa4\xb3 \nhttps://t.co/Y3n0RFakfy \n#barbados \n#travelagent \n#barbados2019\n#topthingstodoinbarbados \n#goingtobarbados \n#virginholidays \n#Airbnb \n#viator \n#NewYork \n#london\n#virginairlines \n#jetblue https://t.co/Lyi0urrI1f'
2019-10-25 11:35:58,"b'#JetBlue to drop #Mexico City in January. This is odd, no back story explanation either. I can\xe2\x80\x99t believe they couldn\xe2\x80\x99t make #MexicoCity work for them. https://t.co/yYClVI4vvS via @WorldALNews'"
2019-10-25 10:51:45,b'@OfficialTCHTA what In GODS name is going on over there?? Your airport is CLOSED??  Great for tourism \xf0\x9f\x99\x84 #delayed #jetblue #jfk #pls'
2019-10-25 10:26:59,b'It\xe2\x80\x99s time to go #home \xf0\x9f\x99\x82#blessed #jetblue https://t.co/UW76m0IHKh'
2019-10-25 10:11:14,b'RT @prattandwhitney: Less fuel burn = more travel possibilities. See how far you could go on the 200 million gallons of fuel the GTF engine\xe2\x80\xa6'
2019-10-25 04:37:49,b'Im not here to say please im here to tell you what to do. #Equalizer #fx #nowplaying #redeye #jetblue #frequentflyer #miles #coasttocoast #flying'
2019-10-25 03:31:07,"b'#ThrowbackThursday\n\nOn JetBlue, putting my headphones into the monitor and then immediately hearing; ""I JUST TOOK A DNA TEST, TURNS OUT, I\'M 100% THAT BITCH!"" \n\nEven 35,000 ft above air, you can\'t escape it! \xf0\x9f\x98\x82 #lizzo #JetBlue'"
2019-10-25 03:17:31,b'I got overly excited about my plane seat having a cup holder and now I\xe2\x80\x99m wondering if I\xe2\x80\x99ve been flying Spirit for too long #JetBlue https://t.co/gPQrq9BcLk'
2019-10-25 01:49:56,"b'RT @birrlad: A nice looking special scheme of @JetBlue ""Blueprint Livery"" on approach to @JFKairport in blue skies.   \n#avgeek #aviation #J\xe2\x80\xa6'"
2019-10-25 01:27:07,"b""The nice thing about being a former #eatingdisorder kid is that after #JetBlue loses your luggage it's easy to replace your wardrobe on #Poshmark because you've obsessively scrutinized your body and know how to display it optimally. #invisibledisabilitiesweek"""
2019-10-25 00:59:01,b'#JetBlue is trippin with all these delays!'
2019-10-24 22:35:35,b'Yaaaaay!! It\xe2\x80\x99s the SNACK TRUCK! Load us up \xf0\x9f\xa5\xa8\xf0\x9f\xa7\x80\xf0\x9f\xa5\xaa\xf0\x9f\x8d\xbf\xf0\x9f\x8d\xaa\xe2\x98\x95\xef\xb8\x8f\xe2\x9c\x88\xef\xb8\x8f #jetblue #snacks #munchies #cheezits #bubly #freesnacks #snackcart #airplane #layover #connection #travelsnacks #thanksdude https://t.co/otEpZ5sO8N https://t.co/zQNTxroXPk'
2019-10-24 21:08:55,b'@LaBeautyologist @JetBlue @JetBlue how can you win 7 awards for your service but fail your customer? \xe2\x98\x9d\xf0\x9f\x8f\xbd #poorcustomerservice #doesntcare         \xf0\x9f\x97\xa3#jetblue #needs #to #reimburse @LaBeautyologist #fully  @forbes @LATravelMag @apex @TripAdvisor'
2019-10-24 19:50:08,b'Norwegian Air and JetBlue announce tentative partnership #airline #jetblue #aviation https://t.co/ilFa5mcxVo'
2019-10-24 18:18:25,"b'#JetBlue Plans to Expand Capacity, Offerings in the Caribbean. $JBLU https://t.co/5QGykyRSze #BestCruiseRates\n\nThe carrier has doubled its seat capacity to the Caribbean in the last 10 years, with further expansion on the way. https://t.co/l2Abx2OMAc'"
2019-10-24 16:50:40,"b'RT @birrlad: A nice looking special scheme of @JetBlue ""Blueprint Livery"" on approach to @JFKairport in blue skies.   \n#avgeek #aviation #J\xe2\x80\xa6'"
2019-10-24 16:07:55,b'RT @JohnJohnMarket: #Chillin workin on some new beats for y\xe2\x80\x99all #Tellem https://t.co/UZL6hlReDE #SoundCloud #johnjohn #TuneIn #NowPlaying #\xe2\x80\xa6'
2019-10-24 15:51:32,b'Paid for two seats on this flight for comfort because you know how thin people are when we big people even appear like we might sit in part of their space. This woman next to me has her magazines and purse in MY seat!!! Um you got half this money?! #jetblue'
2019-10-24 14:43:54,b'#Chillin workin on some new beats for y\xe2\x80\x99all #Tellem https://t.co/UZL6hlReDE #SoundCloud #johnjohn #TuneIn #NowPlaying #Miami #Spotify #Google #iTunes #Deezer #Tidal #jetblue #johnjohnmarket #tharadio #Follow #Twitter\xe2\x80\xa6 https://t.co/l3z6TrmjeW'
2019-10-24 14:41:05,"b""RT @burgessct: A Chelsea, MA gate agent for Jet Blue at Boston's Logan Airport pleaded guilty to scamming Jet Blue out of over $750,000 in\xe2\x80\xa6"""
2019-10-24 14:40:48,"b""A Chelsea, MA gate agent for Jet Blue at Boston's Logan Airport pleaded guilty to scamming Jet Blue out of over $750,000 in airline tickets with ticket swaps for family/friends\n@jetblue #crime #travel #securelytravel #airtravel #jetblue #insider\n\nhttps://t.co/zAJdSFnAgY"""
2019-10-24 14:36:30,b'Thank\xe2\x80\x99s for y\xe2\x80\x99all Support \xf0\x9f\x91\x89\xf0\x9f\x92\xaf #TuneIn @ https://t.co/PiElceHnYs #VIPList #SoundCloud #TuneIn #NowPlaying #Miami #Spotify #Google #iTunes #Deezer #Tidal #jetblue #johnjohn #johnjohnmarket #tharadio #rap #Follow #Twitter #Music @\xe2\x80\xa6 https://t.co/F3T1KEEk0q'
2019-10-24 14:10:49,"b'RT @birrlad: A nice looking special scheme of @JetBlue ""Blueprint Livery"" on approach to @JFKairport in blue skies.   \n#avgeek #aviation #J\xe2\x80\xa6'"
2019-10-24 13:40:57,b'#JetBlue Gate Agent #TiffanyJenkins Could Get 20 Years for Ticket Scam https://t.co/TOCxyKgNoL\n\nAnd it only took her ridiculously overdoing it OVER 500 TIMES for Jet Blue to catch on.  Quality control at its finest.'
2019-10-24 12:47:45,"b'Made a good move today with #JetBlue also. They beat earnings expectations, although seat mile will slow, fuel cost are also going down. Up 7.31% today \xf0\x9f\x91\x8c\xf0\x9f\xa4\x97\xf0\x9f\xa4\x91'"
2019-10-24 12:23:35,b'Awful experience at BNA #jetblue.  One ticket representative who disappeared and came back. Then we got pushed aside only to have people cut in front of us. Then he couldn\xe2\x80\x99t print out baggage tickets. Next time I am taking #Delta'
2019-10-24 10:27:58,"b""RT @IBRAHIMOVICADE2: #Yep ... this ain't #JetBlue instead. #Nope ... something else special as what you find #below\nhttps://t.co/f3qFd6FcVR\xe2\x80\xa6"""
2019-10-24 10:27:40,"b""#Yep ... this ain't #JetBlue instead. #Nope ... something else special as what you find #below\nhttps://t.co/f3qFd6FcVR https://t.co/FhS69WUfpp"""
2019-10-24 10:22:00,"b'RT @birrlad: A nice looking special scheme of @JetBlue ""Blueprint Livery"" on approach to @JFKairport in blue skies.   \n#avgeek #aviation #J\xe2\x80\xa6'"
2019-10-24 09:43:56,b'@JetBlue our infants car seat was destroyed by Jet Blue employees on Monday. Our case still hasn\xe2\x80\x99t been assigned to an agent. How is this possible #JetBlue'
2019-10-24 08:56:32,"b'RT @birrlad: A nice looking special scheme of @JetBlue ""Blueprint Livery"" on approach to @JFKairport in blue skies.   \n#avgeek #aviation #J\xe2\x80\xa6'"
2019-10-24 08:55:02,"b""How turning off phone notifications helps the president of #JetBlue's VC arm avoid multitasking and get things done via @businessinsider #Productivity https://t.co/pTWaCBTJrG https://t.co/nNHkVGPw9G"""
2019-10-24 08:50:41,b'Wooo hoooo!!! Hurry!! Got alot of hugging to do!! #cousins #blessed #fantasyfootball #workdoesntstop #Realtor #realestate #lovewhatido #love #loveflying \xe2\x9c\x88  #jetblue @ Fort\xe2\x80\xa6 https://t.co/vTJ6RjDLFp'
2019-10-24 06:55:00,"b'Airline staff commits $785,000 fraud by upgrading tickets of friends and family; #JetBlue #Boston #UnitedStates \n\nhttps://t.co/yaumiMCJLV'"
2019-10-24 05:05:30,b'Gate Agent Facing Jail Time for Flight Upgrade Scam https://t.co/4x1IEg9JSw via @TravelPulse #JetBlue'
2019-10-24 04:55:00,"b'Airline staff commits $785,000 fraud by upgrading tickets of friends and family..... #JetBlue #Boston #UnitedStates \n\nhttps://t.co/yaumiMUkDt'"
2019-10-24 04:19:58,"b'RT @birrlad: A nice looking special scheme of @JetBlue ""Blueprint Livery"" on approach to @JFKairport in blue skies.   \n#avgeek #aviation #J\xe2\x80\xa6'"
2019-10-24 03:50:28,b'Nice flight. #jetblue https://t.co/83bsGebzVs'
2019-10-24 03:24:02,"b'RT @birrlad: A nice looking special scheme of @JetBlue ""Blueprint Livery"" on approach to @JFKairport in blue skies.   \n#avgeek #aviation #J\xe2\x80\xa6'"
2019-10-24 02:55:09,b'@JetBlue Had to make an emergency return to LGA from BOS (&lt;24 hrs from planned) Was charged $330 to change single flight while original round trip was $366. No standby offered &amp; flight I was put on was half empty. Normally fly #jetblue exclusively for domestic business. No more.'
2019-10-24 02:55:00,"b'Airline staff commits $785,000 fraud by upgrading tickets of friends and family.... #JetBlue #Boston #UnitedStates \n\nhttps://t.co/yaumiMUkDt'"
2019-10-24 01:47:14,b'. @TSA @JetBlue @SeaTacAirport this is the state of the zipper on my luggage upon arrival at JFK. Thanks a fucklot. #jetblue #tsa #seatac https://t.co/HaQSLY42Dd'
